store_id,item_id,forecast_date,predicted_qty,method
S002,P004,2024-01-16,28.85,RandomForest
S002,P004,2024-01-17,29.18,RandomForest
S002,P004,2024-01-18,29.07,RandomForest
S002,P004,2024-01-19,29.33,RandomForest
S002,P004,2024-01-20,36.16,RandomForest
S002,P004,2024-01-21,36.18,RandomForest
S002,P004,2024-01-22,26.55,RandomForest
S002,P004,2024-01-23,28.86,RandomForest
S002,P004,2024-01-24,29.2,RandomForest
S002,P004,2024-01-25,29.02,RandomForest
S002,P004,2024-01-26,29.3,RandomForest
S002,P004,2024-01-27,36.19,RandomForest
S002,P004,2024-01-28,36.18,RandomForest
S002,P004,2024-01-29,26.61,RandomForest
S002,P004,2024-01-30,28.91,RandomForest
S002,P005,2024-01-01,19.19,RandomForest
S002,P005,2024-01-02,20.11,RandomForest
S002,P005,2024-01-03,20.21,RandomForest
S002,P005,2024-01-04,20.2,RandomForest
S002,P005,2024-01-05,20.28,RandomForest
S002,P005,2024-01-06,24.08,RandomForest
S002,P005,2024-01-07,23.97,RandomForest
S002,P005,2024-01-08,19.21,RandomForest
S002,P005,2024-01-09,20.14,RandomForest
S002,P005,2024-01-10,20.17,RandomForest
S002,P005,2024-01-11,20.23,RandomForest
S002,P005,2024-01-12,20.3,RandomForest
S002,P005,2024-01-13,24.06,RandomForest
S002,P005,2024-01-14,24.01,RandomForest
S002,P005,2024-01-15,19.27,RandomForest
S002,P005,2024-01-16,20.18,RandomForest
S002,P005,2024-01-17,20.27,RandomForest
S002,P005,2024-01-18,20.26,RandomForest
S002,P005,2024-01-19,20.35,RandomForest
S002,P005,2024-01-20,24.13,RandomForest
S002,P005,2024-01-21,24.04,RandomForest
S002,P005,2024-01-22,19.34,RandomForest
S002,P005,2024-01-23,20.21,RandomForest
S002,P005,2024-01-24,20.31,RandomForest
S002,P005,2024-01-25,20.31,RandomForest
S002,P005,2024-01-26,20.39,RandomForest
S002,P005,2024-01-27,24.06,RandomForest
S002,P005,2024-01-28,23.91,RandomForest
S002,P005,2024-01-29,19.29,RandomForest
S002,P005,2024-01-30,20.21,RandomForest
S002,P006,2024-01-01,23.28,RandomForest
S002,P006,2024-01-02,24.82,RandomForest
S002,P006,2024-01-03,24.99,RandomForest
S002,P006,2024-01-04,24.88,RandomForest
S002,P006,2024-01-05,25.04,RandomForest
S002,P006,2024-01-06,29.77,RandomForest
S002,P006,2024-01-07,29.57,RandomForest
S002,P006,2024-01-08,23.23,RandomForest
